    3  295    0
                  -0.9982123E-32   0.0000000E+00   0.2313846E+00
  -0.5424104E-02   0.4126856E+01   0.0000000E+00  -0.7105435E+00
  -0.8040052E-03   0.3654150E+01   0.1917846E+01  -0.7105435E+00
  -0.4255798E-02  -0.4006937E+01   0.9876214E+00  -0.7105435E+00
  -0.4255798E-02  -0.4006937E+01  -0.9876214E+00  -0.7105435E+00
  -0.8040052E-03   0.3654150E+01  -0.1917846E+01  -0.7105435E+00
   0.1144584E-01   0.3309482E+01   0.0000000E+00  -0.2407839E+01
   0.1144584E-01  -0.3309482E+01   0.4052946E-15  -0.2407839E+01
  -0.5617042E-02   0.2542075E+01   0.3341112E+01   0.8885986E+00
   0.1391808E-02   0.9709862E+00   0.4482575E+01   0.8885986E+00
   0.1391808E-02  -0.9709862E+00   0.4482575E+01   0.8885986E+00
  -0.5617042E-02  -0.2542075E+01   0.3341112E+01   0.8885986E+00
   0.6718764E-02   0.3142177E+01   0.3308324E+01  -0.9255383E+00
   0.1129555E-01   0.1814137E+01   0.4636364E+01  -0.9255383E+00
   0.1281385E-01   0.2221677E-15   0.5122461E+01  -0.9255383E+00
   0.1129555E-01  -0.1814137E+01   0.4636364E+01  -0.9255383E+00
   0.6718764E-02  -0.3142177E+01   0.3308324E+01  -0.9255383E+00
   0.1489838E-01   0.3142177E+01   0.1494187E+01  -0.2739675E+01
   0.1690420E-01   0.2542075E+01   0.3341112E+01  -0.2739675E+01
   0.1889035E-01   0.9709862E+00   0.4482575E+01  -0.2739675E+01
   0.1889035E-01  -0.9709862E+00   0.4482575E+01  -0.2739675E+01
   0.1690420E-01  -0.2542075E+01   0.3341112E+01  -0.2739675E+01
   0.1489838E-01  -0.3142177E+01   0.1494187E+01  -0.2739675E+01
   0.2343993E-01   0.1814137E+01   0.1494187E+01  -0.4067716E+01
   0.2288719E-01   0.9070685E+00   0.3065275E+01  -0.4067716E+01
   0.2288719E-01  -0.9070685E+00   0.3065275E+01  -0.4067716E+01
   0.2343993E-01  -0.1814137E+01   0.1494187E+01  -0.4067716E+01
   0.2616314E-01   0.4443354E-15   0.1494187E+01  -0.4553812E+01
  -0.5617042E-02  -0.2542075E+01  -0.3341112E+01   0.8885986E+00
   0.1391808E-02  -0.9709862E+00  -0.4482575E+01   0.8885986E+00
   0.1391808E-02   0.9709862E+00  -0.4482575E+01   0.8885986E+00
  -0.5617042E-02   0.2542075E+01  -0.3341112E+01   0.8885986E+00
   0.6718764E-02  -0.3142177E+01  -0.3308324E+01  -0.9255383E+00
   0.1129555E-01  -0.1814137E+01  -0.4636364E+01  -0.9255383E+00
   0.1281385E-01  -0.8494882E-15  -0.5122461E+01  -0.9255383E+00
   0.1129555E-01   0.1814137E+01  -0.4636364E+01  -0.9255383E+00
   0.6718764E-02   0.3142177E+01  -0.3308324E+01  -0.9255383E+00
   0.1489838E-01   0.3142177E+01  -0.1494187E+01  -0.2739675E+01
   0.1489838E-01  -0.3142177E+01  -0.1494187E+01  -0.2739675E+01
   0.1690420E-01  -0.2542075E+01  -0.3341112E+01  -0.2739675E+01
   0.1889035E-01  -0.9709862E+00  -0.4482575E+01  -0.2739675E+01
   0.1889035E-01   0.9709862E+00  -0.4482575E+01  -0.2739675E+01
   0.1690420E-01   0.2542075E+01  -0.3341112E+01  -0.2739675E+01
   0.2343993E-01   0.1814137E+01  -0.1494187E+01  -0.4067716E+01
