   22  983    0
    .1924937E-01    .6455673E+01    .3750573E+01    .2486286E+01
    .1430533E-01    .5166254E+01    .5525307E+01    .2486286E+01
    .2302171E-01    .7608965E+01    .3750573E+01    .8989160E+00
    .1932096E-01    .6902569E+01    .5691378E+01    .8989160E+00
    .1650837E-01    .5113914E+01    .6724059E+01    .8989160E+00
    .2365489E-01    .7608965E+01    .3750573E+01   -.1063181E+01
    .1908115E-01    .6902569E+01    .5691378E+01   -.1063181E+01
    .1718629E-01    .5113914E+01    .6724059E+01   -.1063181E+01
    .1653572E-01    .6455673E+01    .3750573E+01   -.2650551E+01
    .1526053E-01    .5166254E+01    .5525307E+01   -.2650551E+01
    .1574887E-01    .2487159E+01    .7580228E+01   -.9016628E+00
    .1265668E-01    .4531749E+00    .7221582E+01   -.9016628E+00
    .1061315E-01   -.8744141E+00    .5639423E+01   -.9016628E+00
    .1575891E-01    .4275815E+01    .6547548E+01   -.2863760E+01
    .1745312E-01    .2487159E+01    .7580228E+01   -.2863760E+01
    .1839672E-01    .4531749E+00    .7221582E+01   -.2863760E+01
    .2155239E-01   -.8744141E+00    .5639423E+01   -.2863760E+01
    .1336486E-01    .3828918E+01    .4606742E+01   -.4451130E+01
    .1870238E-01    .2539499E+01    .6381476E+01   -.4451130E+01
    .2337262E-01    .4531749E+00    .5703588E+01   -.4451130E+01
    .1063532E-01    .2539499E+01    .2832009E+01   -.4451130E+01
    .1975884E-01    .1962853E+01    .4606742E+01   -.5057451E+01
   -.1030642E-01    .1582487E+01    .3949326E+01    .4534997E+01
    .5347801E-02    .3448553E+01    .3949326E+01    .3928676E+01
    .2842657E-02    .2159133E+01    .5724060E+01    .3928676E+01
   -.1424935E-01    .7280899E-01    .5046172E+01    .3928676E+01
   -.1329816E-01    .2159133E+01    .2174593E+01    .3928676E+01
    .8314250E-02    .2106793E+01    .6922812E+01    .2341306E+01
    .4040633E-03    .7280899E-01    .6564166E+01    .2341306E+01
   -.2367174E-01   -.1254780E+01    .4982007E+01    .2341306E+01
    .6720036E-02    .7280899E-01    .6564166E+01    .3792092E+00
   -.3531362E-02   -.1254780E+01    .4982007E+01    .3792092E+00
    .7095743E-02    .1622202E+01    .2196450E+00   -.5473884E+01
    .2356261E-01   -.2338331E+01    .4214090E+01   -.2496054E+01
    .2851239E-01   -.3043472E+00    .4572736E+01   -.4458151E+01
    .2640791E-01   -.2338331E+01    .4214090E+01   -.4458151E+01
    .2850868E-01   -.3665920E+01    .2631931E+01   -.4458151E+01
    .1598979E-01    .1037412E+01    .1599250E+01   -.6045521E+01
    .2465891E-01   -.2520072E+00    .3373984E+01   -.6045521E+01
    .2802046E-01   -.2338331E+01    .2696096E+01   -.6045521E+01
    .3044987E-01   -.2338331E+01    .5024046E+00   -.6045521E+01
    .1822813E-01   -.2520072E+00   -.1754833E+00   -.6045521E+01
    .2314687E-01   -.8286530E+00    .1599250E+01   -.6651843E+01
   -.5047393E-02   -.1816283E+01   -.4256198E+01   -.1887259E+01
    .1242511E-01   -.1816283E+01   -.4256198E+01   -.3849356E+01
   -.1538271E-01    .2177012E+00   -.4614844E+01   -.3849356E+01
    .3209378E-02    .1559461E+01   -.1641358E+01   -.5436726E+01
    .2511578E-01   -.1816283E+01   -.2738204E+01   -.5436726E+01
    .5398209E-02    .2700412E+00   -.3416092E+01   -.5436726E+01
    .1593004E-01   -.3066046E+00   -.1641358E+01   -.6043048E+01
   -.2264564E-01   -.2892580E+01   -.3123594E+01    .1986132E+01
   -.3921002E-01   -.9757988E+00   -.2848002E+01    .1986132E+01
   -.1856220E-02   -.1925138E+01    .4217672E+01    .1919750E-02
   -.4117603E-02   -.3810702E+01    .3988723E+01    .1919750E-02
   -.1649122E-01   -.1925138E+01   -.3661309E+01    .1919750E-02
    .2318787E-01   -.2892580E+01    .3679957E+01   -.1982293E+01
   -.5703349E-01   -.1989192E+01    .9870498E+00    .5858743E+01
   -.5508598E-01   -.1372602E+00    .9870498E+00    .5362519E+01
   -.5363327E-01   -.1063226E+01    .2590870E+01    .5362519E+01
   -.5398819E-01   -.2915157E+01    .2590870E+01    .5362519E+01
