    6  452    0
   -.1220032E-01   -.4421632E+01    .5414936E-15    .2253376E+01
   -.9366936E-02   -.3983753E+01   -.1918474E+01    .2253376E+01
   -.9366936E-02    .3983753E+01   -.1918474E+01    .2253376E+01
   -.2108856E-01    .4421632E+01    .0000000E+00    .2349586E+00
   -.1695869E-01    .3983753E+01    .1918474E+01    .2349586E+00
   -.6389127E-02    .2756842E+01    .3456971E+01    .2349586E+00
   -.6389127E-02   -.2756842E+01    .3456971E+01    .2349586E+00
   -.1695869E-01   -.3983753E+01    .1918474E+01    .2349586E+00
   -.2108856E-01   -.4421632E+01    .5414936E-15    .2349586E+00
   -.1695869E-01   -.3983753E+01   -.1918474E+01    .2349586E+00
   -.6389127E-02   -.2756842E+01   -.3456971E+01    .2349586E+00
   -.6389127E-02    .2756842E+01   -.3456971E+01    .2349586E+00
   -.1695869E-01    .3983753E+01   -.1918474E+01    .2349586E+00
   -.2108856E-01    .4421632E+01    .0000000E+00   -.2349586E+00
   -.1695869E-01    .3983753E+01    .1918474E+01   -.2349586E+00
   -.6389127E-02    .2756842E+01    .3456971E+01   -.2349586E+00
   -.6389127E-02   -.2756842E+01    .3456971E+01   -.2349586E+00
   -.1695869E-01   -.3983753E+01    .1918474E+01   -.2349586E+00
   -.2108856E-01   -.4421632E+01    .5414936E-15   -.2349586E+00
   -.1695869E-01   -.3983753E+01   -.1918474E+01   -.2349586E+00
   -.6389127E-02   -.2756842E+01   -.3456971E+01   -.2349586E+00
   -.6389127E-02    .2756842E+01   -.3456971E+01   -.2349586E+00
   -.1695869E-01    .3983753E+01   -.1918474E+01   -.2349586E+00
   -.1220032E-01    .4421632E+01    .0000000E+00   -.2253376E+01
   -.9366936E-02    .3983753E+01    .1918474E+01   -.2253376E+01
   -.9366936E-02   -.3983753E+01    .1918474E+01   -.2253376E+01
   -.1220032E-01   -.4421632E+01    .5414936E-15   -.2253376E+01
   -.9366936E-02   -.3983753E+01   -.1918474E+01   -.2253376E+01
   -.9366936E-02    .3983753E+01   -.1918474E+01   -.2253376E+01
   -.3869609E-02    .3545873E+01    .0000000E+00   -.4071907E+01
   -.3027675E-02   -.3402241E+01    .9989880E+00   -.4071907E+01
   -.3027675E-02   -.3402241E+01   -.9989880E+00   -.4071907E+01
    .2297711E-02    .1967811E+01    .0000000E+00   -.5330370E+01
    .2297711E-02   -.1967811E+01    .2409873E-15   -.5330370E+01
    .4764221E-02    .5554192E-15    .0000000E+00   -.5779510E+01
    .5680733E-02    .0000000E+00    .1727794E+01    .5944261E+01
    .4030706E-02    .1814137E+01    .1727794E+01    .5458165E+01
    .6649953E-02    .9070685E+00    .3298882E+01    .5458165E+01
    .6649953E-02   -.9070685E+00    .3298882E+01    .5458165E+01
    .4030706E-02   -.1814137E+01    .1727794E+01    .5458165E+01
   -.1053953E-02    .3142177E+01    .1727794E+01    .4130124E+01
    .3617106E-02    .2542075E+01    .3574719E+01    .4130124E+01
    .7037582E-02    .9709862E+00    .4716182E+01    .4130124E+01
    .7037582E-02   -.9709862E+00    .4716182E+01    .4130124E+01
    .3617106E-02   -.2542075E+01    .3574719E+01    .4130124E+01
   -.1053953E-02   -.3142177E+01    .1727794E+01    .4130124E+01
   -.1756524E-02    .3142177E+01    .3541931E+01    .2315988E+01
    .4253305E-02    .1814137E+01    .4869971E+01    .2315988E+01
    .6325056E-02    .2221677E-15    .5356068E+01    .2315988E+01
    .4253305E-02   -.1814137E+01    .4869971E+01    .2315988E+01
   -.1756524E-02   -.3142177E+01    .3541931E+01    .2315988E+01
    .3996665E-02    .9709862E+00    .4716182E+01    .5018506E+00
    .3996665E-02   -.9709862E+00    .4716182E+01    .5018506E+00
    .3996665E-02   -.9709862E+00   -.4716182E+01   -.5018506E+00
    .3996665E-02    .9709862E+00   -.4716182E+01   -.5018506E+00
   -.1756524E-02   -.3142177E+01   -.3541931E+01   -.2315988E+01
    .4253305E-02   -.1814137E+01   -.4869971E+01   -.2315988E+01
    .6325056E-02   -.6665026E-15   -.5356068E+01   -.2315988E+01
    .4253305E-02    .1814137E+01   -.4869971E+01   -.2315988E+01
   -.1756524E-02    .3142177E+01   -.3541931E+01   -.2315988E+01
   -.1053953E-02    .3142177E+01   -.1727794E+01   -.4130124E+01
   -.1053953E-02   -.3142177E+01   -.1727794E+01   -.4130124E+01
    .3617106E-02   -.2542075E+01   -.3574719E+01   -.4130124E+01
    .7037582E-02   -.9709862E+00   -.4716182E+01   -.4130124E+01
    .7037582E-02    .9709862E+00   -.4716182E+01   -.4130124E+01
    .3617106E-02    .2542075E+01   -.3574719E+01   -.4130124E+01
    .4030706E-02    .1814137E+01   -.1727794E+01   -.5458165E+01
    .4030706E-02   -.1814137E+01   -.1727794E+01   -.5458165E+01
    .6649953E-02   -.9070685E+00   -.3298882E+01   -.5458165E+01
    .6649953E-02    .9070685E+00   -.3298882E+01   -.5458165E+01
    .5680733E-02    .4443353E-15   -.1727794E+01   -.5944261E+01
    .3996665E-02    .9709862E+00    .4716182E+01   -.5018506E+00
