-10.14	0.0	0.0
-6.76	0.0	0.0
-3.38	0.0	0.0
0.0	0.0	0.0
3.37161311876	0.0925655277606	0.0925655277606
6.72431462934	0.361969672322	0.361969672322
10.0430549863	0.793821216757	0.793821216757
13.3167841179	1.37227335432	1.37227335432
16.5389497489	2.08141579112	2.08141579112
19.7057206945	2.90594583104	2.90594583104
22.8160090346	3.83180716046	3.83180716046
25.8705769703	4.84638739954	4.84638739954
28.8711338896	5.93843355465	5.93843355465
31.8206428808	7.09823966285	7.09823966285
34.7221050496	8.31719499132	8.31719499132
37.5788607192	9.58781860596	9.58781860596
40.3945872289	10.9036959654	10.9036959654
43.1723808558	12.2589580879	12.2589580879
45.9159734857	13.648761839	13.648761839
48.6285091394	15.0686136677	15.0686136677
51.3134569644	16.5147438959	16.5147438959
53.9736918359	17.9835478488	17.9835478488
56.6121029221	19.4718326179	19.4718326179
59.2315918164	20.9767632422	20.9767632422
61.834764521	22.4956317752	22.4956317752
64.4242357084	24.0259800502	24.0259800502
67.0029336322	25.5657411491	25.5657411491
69.5728732449	27.1124649744	27.1124649744
72.1369929464	28.664376909	28.664376909
74.6973149611	30.2192363457	30.2192363457
77.2564762023	31.7752258421	31.7752258421
79.8165013044	33.3301742196	33.3301742196
82.3800273052	34.8822676234	34.8822676234
84.9496894382	36.4296402228	36.4296402228
87.5275071669	37.9699718689	37.9699718689
90.1161085766	39.5011908024	39.5011908024
92.7181160997	41.0210624047	41.0210624047
95.3361451053	42.5271485771	42.5271485771
97.9728024378	44.0167656329	44.0167656329
100.630990696	45.4871075876	45.4871075876
103.313600221	46.9350152819	46.9350152819
106.023812711	48.3570806653	48.3570806653
108.764793022	49.7494103744	49.7494103744
111.539686874	51.1075598595	51.1075598595
114.352228111	52.4267423404	52.4267423404
117.20551517	53.7011511031	53.7011511031
120.10322785	54.9244424526	54.9244424526
123.048709197	56.0892138814	56.0892138814
126.045267016	57.187047675	57.187047675
129.095563313	58.2082066883	58.2082066883
132.201310931	59.1415374764	59.1415374764
135.363578319	59.974607589	59.974607589
138.581280022	60.6934318043	60.6934318043
141.85119036	61.2828659647	61.2828659647
145.166755845	61.7269648664	61.7269648664
148.517224632	62.0098305976	62.0098305976
151.887991852	62.1169185906	62.1169185906
155.536212506	62.1175136391	62.1175136391
158.916212506	62.1175136391	62.1175136391
162.296212506	62.1175136391	62.1175136391
165.676212506	62.1175136391	62.1175136391
169.056212506	62.1175136391	62.1175136391
