   29 1250
    -.1025871E+00   -.5383958E+01    .3855950E+01   -.2989140E+01
    -.1148855E+00   -.3399745E+01    .3855950E+01   -.3520809E+01
    -.1181986E+00   -.8446266E+00    .4066490E+01    .4361399E+01
    -.1152222E+00    .1139587E+01    .4066490E+01    .3829730E+01
    -.9973220E-01    .1474800E+00    .5784869E+01    .3829730E+01
    -.1017791E+00   -.1836733E+01    .5784869E+01    .3829730E+01
    -.1310888E+00   -.1836733E+01    .2348111E+01    .3829730E+01
    -.1016677E+00    .1474800E+00    .5784869E+01   -.3043786E+01
    -.1072270E+00   -.1836733E+01    .5784869E+01   -.3043786E+01
    -.1263301E+00   -.1836733E+01    .2348111E+01   -.3043786E+01
    -.1180027E+00   -.8446266E+00    .4066490E+01   -.3575454E+01
    -.1355083E+00    .7609892E+00    .1930588E+01    .4017092E+01
    -.1576913E+00    .1753096E+01    .2122094E+00    .3485424E+01
    -.1132282E+00    .1753096E+01    .3648967E+01   -.3388092E+01
    -.1292258E+00   -.1223224E+01    .1930588E+01   -.3388092E+01
    -.1265309E+00    .7609892E+00    .1930588E+01   -.3919760E+01
    -.1785516E+00    .1386143E+01   -.3815082E+01    .2110877E+01
    -.1559047E+00    .1386143E+01   -.3815082E+01   -.3025962E+01
    -.1245994E+00   -.1097608E+01   -.4699178E+01    .1875846E+01
    -.1048499E+00   -.2387028E+01   -.6473912E+01    .1875846E+01
    -.8314494E-01   -.4473353E+01   -.7314019E+01    .2884754E+00
    -.9259670E-01   -.2439368E+01   -.7672665E+01    .2884754E+00
    -.1174406E+00   -.6507111E+00   -.6639984E+01    .2884754E+00
    -.7939638E-01   -.4473353E+01   -.7314019E+01   -.1673622E+01
    -.8849629E-01   -.2439368E+01   -.7672665E+01   -.1673622E+01
    -.1113588E+00   -.6507111E+00   -.6639984E+01   -.1673622E+01
    -.1108505E+00   -.1097608E+01   -.4699178E+01   -.3260993E+01
    -.9346551E-01   -.2387028E+01   -.6473912E+01   -.3260993E+01
    -.7210577E-01   -.9079541E+01   -.6267182E+01    .1947253E+01
    -.8124999E-01   -.6993216E+01   -.6945070E+01    .1947253E+01
    -.6051588E-01   -.1040713E+02   -.6203017E+01    .3598825E+00
    -.6084142E-01   -.9079541E+01   -.7785177E+01    .3598825E+00
    -.6874447E-01   -.7045556E+01   -.8143823E+01    .3598825E+00
    -.8069069E-01   -.5256900E+01   -.7111142E+01    .3598825E+00
    -.5931903E-01   -.1040713E+02   -.6203017E+01   -.1602215E+01
